Graph already exists at: ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt
Running experiments with 1 iterations, varying N from 10 to 10,000 and seed token 1729
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpathN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpathN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpathN_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klevN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klevN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klevN_k10_seed_1729_itr_1_20250804_101736.csv
Running kpath variant 0 with N=10, sparsity=2, k=2, seed=1729...
Running klev variant 1 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.06,5208
Running klev variant 2 with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.08,8268
Running klev variant N with N=4000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 119.0, Time/Memory: 0.09,8292
Running kpath variant 0 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 67.0, Time/Memory: 0.26,6212
Running kpath variant 1 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 68.0, Time/Memory: 0.28,6296
Running kpath variant 2 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 76.0, Time/Memory: 0.15,6260
Running kpath variant N with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 76.0, Time/Memory: 0.15,6212
Running kpath variant 0 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 60.0, Time/Memory: 0.21,7236
Running kpath variant 1 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 66.0, Time/Memory: 0.12,7236
Running kpath variant 2 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 62.0, Time/Memory: 0.20,7236
Running kpath variant N with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 62.0, Time/Memory: 0.20,7236
Running kpath variant 0 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 60.0, Time/Memory: 0.10,9284
Running kpath variant 1 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 63.0, Time/Memory: 0.09,9312
Running kpath variant 2 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.11,9284
Running kpath variant N with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 66.0, Time/Memory: 0.11,9284
Running klev variant 0 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 106.0, Time/Memory: 0.10,5188
Running klev variant 1 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.06,5232
Running klev variant 2 with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.08,6212
Running klev variant N with N=4500, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.07,6220
Running klev variant 0 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 106.0, Time/Memory: 0.10,5188
Running klev variant 1 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.07,5188
Running klev variant 2 with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.08,7236
Running klev variant N with N=4500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.08,7232
Running klev variant 0 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 106.0, Time/Memory: 0.09,5216
Running klev variant 1 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.07,5188
Running klev variant 2 with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.09,9284
Running klev variant N with N=4500, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 109.0, Time/Memory: 0.09,9308
Running kpath variant 0 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 60.0, Time/Memory: 0.20,6212
Running kpath variant 1 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 67.0, Time/Memory: 0.21,6212
Running kpath variant 2 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 63.0, Time/Memory: 0.10,6240
Running kpath variant N with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 63.0, Time/Memory: 0.09,5156
Running kpath variant 0 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 57.0, Time/Memory: 0.15,7236
Running kpath variant 1 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 60.0, Time/Memory: 0.08,7236
Running kpath variant 2 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 55.0, Time/Memory: 0.14,7236
Running kpath variant N with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 55.0, Time/Memory: 0.14,7292
Running kpath variant 0 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 58.0, Time/Memory: 0.08,8228
Running kpath variant 1 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 55.0, Time/Memory: 0.06,10364
Running kpath variant 2 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.07,10308
Running kpath variant N with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.07,10308
Running klev variant 0 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 97.0, Time/Memory: 0.07,5188
Running klev variant 1 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.05,5188
Running klev variant 2 with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.06,6212
Running klev variant N with N=5000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.06,6236
Running klev variant 0 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 97.0, Time/Memory: 0.07,5188
Running klev variant 1 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.05,5188
Running klev variant 2 with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.07,7248
Running klev variant N with N=5000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.06,7236
Running klev variant 0 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 97.0, Time/Memory: 0.07,5216
Running klev variant 1 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.05,5184
Running klev variant 2 with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.08,9304
Running klev variant N with N=5000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 92.0, Time/Memory: 0.07,9332
Running kpath variant 0 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 67.0, Time/Memory: 0.44,6212
Running kpath variant 1 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 8.0,  Average Height: 68.0, Time/Memory: 0.47,6212
Running kpath variant 2 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 59.0, Time/Memory: 0.27,6212
Running kpath variant N with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 59.0, Time/Memory: 0.27,6212
Running kpath variant 0 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 55.0, Time/Memory: 0.33,8264
Running kpath variant 1 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.16,8260
Running kpath variant 2 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.28,8260
Running kpath variant N with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 59.0, Time/Memory: 0.32,8288
Running kpath variant 0 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 60.0, Time/Memory: 0.17,11332
Running kpath variant 1 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 60.0, Time/Memory: 0.12,11360
Running kpath variant 2 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.15,11332
Running kpath variant N with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.15,11332
Running klev variant 0 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 109.0, Time/Memory: 0.16,5188
Running klev variant 1 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 110.0, Time/Memory: 0.12,5188
Running klev variant 2 with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.12,6240
Running klev variant N with N=6000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.12,6240
Running klev variant 0 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 109.0, Time/Memory: 0.17,5212
Running klev variant 1 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 110.0, Time/Memory: 0.13,5212
Running klev variant 2 with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.15,8260
Running klev variant N with N=6000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.14,8260
Running klev variant 0 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 109.0, Time/Memory: 0.18,5232
Running klev variant 1 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 110.0, Time/Memory: 0.12,5232
Running klev variant 2 with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.13,11328
Running klev variant N with N=6000, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.14,11360
Running kpath variant 0 with N=7000, sparsity=2, k=2, seed=1729...
